id,Income year,Postcode,0-4 years,5-9 years,10-14 years,15-19 years,20-24 years,25-29 years,30-34 years,35-39 years,40-44 years,45-49 years,50-54 years,55-59 years,60-64 years,65-69 years,70-74 years,75-79 years,80-84 years,85-89 years,90-94 years,95-99 years,100 years and over,Oceanian,North-West European,Southern and Eastern European,North African and Middle Eastern,South-East Asian,North-East Asian,Southern and Central Asian,People of the Americas,Sub-Saharan African,Male,Female,under or 0,$1 to 1000,1000-1999,2000+,Married in a registered marriage,Married in a de facto marriage,Not married
200600800,2006,800,62,39,57,111,323,386,263,212,164,181,179,149,133,73,38,42,27,14,4,3,0,553,1018,130,6,67,95,26,4,3,1482,999,85,1114,476,111,333,269,742
200600810,2006,810,1706,1763,1820,1875,2046,2099,2167,2137,2140,2123,1930,1930,1195,801,473,310,161,63,29,6,0,7588,10506,2169,145,1226,1023,441,98,237,13600,13180,1248,12535,4605,635,7255,2543,8488
200600812,2006,812,1477,1575,1591,1539,1227,1304,1481,1513,1541,1576,1447,1112,710,412,218,124,86,21,16,3,0,5879,7255,1107,128,1139,1039,364,49,86,9461,9514,948,8521,3126,334,5766,1806,5314
200600820,2006,820,1163,1059,916,972,1660,1834,1728,1568,1392,1305,1248,1082,676,392,237,186,103,54,19,7,0,5292,7733,1120,23,352,533,100,87,56,9419,8172,787,7311,3668,870,4498,2012,5212
200600828,2006,828,51,51,122,98,39,47,50,57,73,85,60,82,39,26,7,8,9,0,0,0,0,369,346,30,3,17,19,0,8,0,476,433,60,350,141,26,249,48,203
200600830,2006,830,1781,1619,1620,1192,1150,1367,1485,1528,1354,1110,866,626,392,258,166,117,64,23,12,3,0,5887,6846,461,17,426,253,115,28,21,8423,8318,623,6921,2221,212,4152,1704,3904
200600832,2006,832,789,699,528,398,579,754,883,692,490,388,271,228,124,65,55,31,12,0,0,0,0,2484,3187,235,4,224,91,47,15,19,3515,3461,254,2874,1286,104,1991,896,1418
200600835,2006,835,291,352,422,483,518,317,338,429,519,494,470,382,223,158,65,65,21,14,0,0,0,1787,2843,161,3,65,48,16,7,0,3195,2372,259,2602,1042,108,1724,505,1096
200600836,2006,836,416,468,512,382,189,243,380,573,618,521,430,312,256,112,63,56,13,4,0,0,0,1939,2436,148,3,93,47,7,18,10,2931,2616,277,2293,899,94,1680,641,1156
200600837,2006,837,37,45,46,20,20,36,43,49,43,42,42,23,22,7,5,3,0,0,0,0,0,160,168,9,0,37,10,0,3,3,259,225,23,190,78,5,144,51,95
200600838,2006,838,22,48,46,31,10,14,28,52,46,55,46,35,24,9,3,10,0,0,0,0,0,158,201,8,0,14,5,0,3,0,273,213,12,204,67,11,118,57,115
200600840,2006,840,3,5,4,3,7,3,10,8,21,19,42,43,39,19,9,3,0,0,0,0,0,64,120,9,0,0,0,0,0,0,147,95,12,143,13,4,70,20,64
200600841,2006,841,84,103,91,49,22,32,63,96,116,89,75,79,57,22,12,8,3,0,0,0,0,294,386,20,0,28,3,0,3,0,552,436,46,365,93,13,211,104,180
200600845,2006,845,45,78,91,42,34,40,38,69,87,91,70,90,57,47,20,13,0,0,0,0,0,305,313,10,0,9,9,0,0,0,496,415,44,368,69,15,167,86,197
200600847,2006,847,50,35,24,24,24,24,21,31,30,11,20,27,18,13,18,3,0,0,3,0,0,217,102,0,0,0,10,0,0,0,200,177,17,187,18,5,71,44,107
200600850,2006,850,773,780,753,542,571,633,763,742,659,568,479,405,260,201,105,59,40,20,7,0,0,3297,3193,156,7,139,77,37,13,20,4220,4139,276,3540,1161,99,1959,840,1892
200600852,2006,852,854,856,730,767,740,571,537,593,429,449,307,288,223,129,96,41,17,16,4,3,3,5948,780,18,0,29,10,3,17,9,3940,3740,367,3805,229,30,1941,270,2195
200600854,2006,854,80,90,66,86,58,65,66,52,43,43,40,22,17,21,9,3,5,0,0,0,0,617,74,4,0,0,0,0,0,0,415,360,40,382,34,5,75,97,230
200600860,2006,860,235,234,281,260,191,193,244,198,233,211,201,180,101,76,41,28,15,7,3,0,0,1497,770,55,3,37,11,5,0,6,1463,1455,117,1380,260,15,609,238,837
200600862,2006,862,234,224,214,217,270,186,188,137,117,89,91,67,54,43,23,7,3,3,0,0,0,1545,208,8,0,0,0,0,0,3,1139,1025,71,1027,47,12,460,95,601
200600870,2006,870,1852,1834,1886,1734,1643,1834,1889,2047,2068,1959,1787,1289,850,492,251,242,116,79,24,3,5,8926,10390,682,59,318,230,189,328,117,11793,12098,960,10948,3631,629,6150,2394,6648
200600880,2006,880,660,732,577,504,421,600,626,654,551,572,417,309,149,57,18,14,8,8,0,3,0,3960,1945,167,9,60,46,18,14,19,3699,3167,321,2531,1065,479,1741,411,1654
200600885,2006,885,105,90,86,28,58,81,108,89,96,88,67,42,10,4,0,0,0,0,0,0,0,360,395,34,0,26,0,0,0,12,519,440,42,255,209,105,277,112,135
200600886,2006,886,124,117,121,71,100,136,156,157,137,118,99,61,36,7,6,3,0,0,0,0,0,578,432,17,0,24,12,0,6,0,843,614,47,425,237,74,278,143,247
200602000,2006,2000,522,319,370,1202,4878,4389,2293,1340,1137,1049,1018,897,622,463,346,235,176,97,31,10,4,1000,3079,653,176,1423,6034,345,143,41,11015,10385,2770,6269,1859,1411,2823,1301,7773
200602006,2006,2006,28,3,6,475,484,37,23,13,13,13,15,15,3,18,14,14,12,5,4,0,0,264,604,57,12,7,56,23,8,11,490,701,168,827,25,7,8,3,3
200602007,2006,2007,129,112,102,316,1350,1162,710,375,267,212,208,185,124,101,83,61,37,19,3,4,0,384,950,205,56,309,1628,202,51,16,2913,2635,695,2073,633,161,767,461,2294
200602008,2006,2008,188,109,89,313,1326,1181,829,501,399,343,299,229,155,100,64,61,40,22,4,0,0,811,1735,281,66,213,930,104,50,15,3313,2937,541,2292,900,236,614,725,2225
200602009,2006,2009,420,243,174,387,1559,2364,1800,1060,739,573,532,526,374,235,120,110,61,28,3,0,0,1233,3075,761,144,459,1890,280,167,34,5943,5369,646,3443,2182,1156,2235,1351,3590
200602010,2006,2010,641,312,319,548,2581,4503,3980,2926,2151,1518,1235,1140,758,577,438,389,314,192,75,31,0,3118,8565,1786,283,657,1704,402,244,81,14553,10079,898,8662,4628,2051,2597,3409,9014
200602011,2006,2011,338,204,228,462,1442,2555,2752,2057,1519,1286,1098,1010,765,550,413,363,327,211,114,29,6,2551,7458,1329,192,346,717,185,224,71,9735,8000,653,6128,3753,1939,2084,2209,6917
200602015,2006,2015,386,189,134,166,717,1163,1288,906,604,438,366,254,183,86,73,42,35,18,8,0,0,1468,3072,553,80,175,412,93,107,43,3748,3301,273,2639,1945,555,1492,1304,2410
200602016,2006,2016,399,194,208,341,1085,1463,1483,1227,955,848,667,593,484,465,413,333,195,86,25,6,0,1886,3983,1299,403,257,930,186,162,52,6438,5048,523,5318,2049,637,1896,1442,4865
200602017,2006,2017,402,260,262,700,1353,1561,1353,981,654,614,488,591,425,474,385,278,215,90,28,9,3,1576,3177,1338,414,512,1686,142,171,53,5949,5174,878,5092,1828,473,1858,1184,5184
200602018,2006,2018,899,838,702,767,1102,1177,1239,1117,1041,913,861,725,686,615,498,437,266,113,41,11,3,1809,2494,3486,1133,690,1683,1006,344,48,7045,6995,1222,7623,1502,241,5387,636,4803
200602019,2006,2019,730,616,594,555,534,604,770,858,766,709,601,556,454,390,248,283,189,138,63,14,5,2631,3323,1558,182,306,448,226,182,63,4776,4897,566,4721,1408,270,3540,542,2885
200602020,2006,2020,513,488,506,537,635,701,748,688,656,636,531,427,389,325,280,242,136,67,23,0,0,1647,1924,1725,440,476,713,477,184,29,4257,4260,627,4459,1000,206,3086,458,2842
200602021,2006,2021,713,465,358,443,964,1892,1968,1464,1052,847,756,925,777,506,314,286,209,123,75,19,4,2788,7366,1194,102,158,402,120,157,75,6795,7376,633,4892,3078,2338,3463,1615,5395
200602022,2006,2022,600,387,342,374,761,1145,1199,924,628,684,550,559,418,361,313,314,302,177,54,9,0,1635,3673,1369,295,167,712,102,154,117,5039,5051,599,3740,1789,947,2641,889,3428
200602023,2006,2023,481,410,536,618,531,690,804,643,590,614,550,642,436,274,219,218,207,97,45,15,0,1612,3236,1379,357,76,351,73,125,332,4191,4438,722,2494,1629,1343,2961,546,2567
200602024,2006,2024,739,562,528,516,548,926,1188,1089,968,797,646,674,476,321,353,307,320,199,130,42,9,2356,5369,1454,169,71,273,61,132,113,5407,5934,607,4452,2032,1173,3259,1020,3514
200602025,2006,2025,424,282,264,274,382,607,616,557,501,433,427,527,432,342,237,234,185,133,63,17,3,1393,3130,695,128,43,206,48,66,72,3157,3773,372,2074,1313,1104,1977,587,2125
200602026,2006,2026,1699,1146,985,1068,2135,4076,4596,3154,2185,1667,1517,1417,1029,842,665,642,604,334,129,22,5,4851,11265,3971,985,230,615,235,460,677,15069,14854,1371,11080,5281,2488,6711,3037,10069
200602027,2006,2027,256,209,247,329,397,663,750,594,441,465,480,643,545,430,329,388,407,264,125,19,0,1435,3639,931,159,73,321,70,88,146,3539,4436,504,2383,1638,1591,2367,660,2881
200602028,2006,2028,176,158,179,208,259,383,363,312,284,228,214,264,207,159,139,139,126,83,32,7,0,688,1767,532,87,49,190,38,39,70,1792,2136,266,1309,770,623,1140,348,1395
200602029,2006,2029,546,536,488,497,563,755,949,773,677,579,565,612,471,315,289,291,267,163,68,25,3,1651,3327,1483,389,79,287,94,112,522,4389,5034,634,3164,1673,1108,3127,603,2723
200602030,2006,2030,735,875,1035,1039,751,623,746,892,1001,1127,901,878,693,470,427,377,356,201,72,18,0,2304,4396,2383,547,64,435,95,131,910,6280,6927,1074,4049,1962,1773,5007,476,3187
200602031,2006,2031,1832,1388,1168,1269,2742,3432,3643,2997,2442,1985,1751,1485,1145,870,722,710,608,326,140,43,10,6152,13537,3557,617,613,2274,514,356,394,14635,16071,1900,13145,6482,2321,8772,2999,11024
