Year,Postal Area (POA) Code,Index of Relative Socio-economic Advantage and Disadvantage,Index of Relative Socio-economic Disadvantage,Index of Economic Resources,Index of Education and Occupation,Usual Resident Population
2006,0800,1053,1027,974,1061,2484
2006,0810,1027,998,993,1038,26778
2006,0812,1012,993,996,1002,18975
2006,0820,1065,1041,1023,1060,17591
2006,0822,755,594,656,872,18757
2006,0828,1003,998,990,996,907
2006,0830,979,966,956,960,16738
2006,0832,1048,1048,1052,987,6980
2006,0835,1037,1050,1081,993,5567
2006,0836,1006,1032,1050,963,5551
2006,0837,990,1012,1038,983,482
2006,0838,992,1008,1050,973,481
2006,0840,837,831,869,861,238
2006,0841,941,961,976,943,988
2006,0845,922,888,900,995,914
2006,0847,852,836,868,905,375
2006,0850,972,949,920,983,8360
2006,0852,729,548,636,855,7679
2006,0854,712,556,614,849,774
2006,0860,893,820,847,938,2921
2006,0862,786,674,736,872,2165
2006,0870,1020,1002,997,1010,23891
2006,0872,741,570,649,864,14171
2006,0880,911,825,818,924,6869
2006,0885,1033,1061,991,1010,956
2006,0886,1004,964,929,1009,1459
2006,2000,1101,984,923,1163,21400
2006,2007,1090,984,899,1171,5550
2006,2008,1122,1035,962,1191,6249
2006,2009,1152,1072,1021,1184,11312
2006,2010,1135,1055,995,1182,24632
2006,2011,1115,1050,962,1177,17736
2006,2015,1163,1108,1080,1165,7050
2006,2016,1063,973,961,1100,11482
2006,2017,1023,917,896,1081,11123
2006,2018,1004,962,976,1007,14037
2006,2019,1044,1014,1038,998,9672
2006,2020,1023,985,1019,987,8518
2006,2021,1172,1106,1067,1210,14167
2006,2022,1136,1069,1046,1156,10093
2006,2023,1200,1130,1138,1205,8627
2006,2024,1146,1083,1072,1161,11342
2006,2025,1193,1118,1113,1222,6929
2006,2026,1138,1076,1048,1163,29920
2006,2027,1182,1114,1099,1202,7973
2006,2028,1184,1112,1095,1206,3927
2006,2029,1170,1112,1098,1180,9427
2006,2030,1203,1138,1167,1196,13208
2006,2031,1139,1081,1053,1164,30704
2006,2032,1070,1005,985,1097,14975
2006,2033,1111,1045,1028,1140,10847
2006,2034,1128,1072,1050,1148,18534
2006,2035,1071,1016,1016,1073,28270
2006,2036,1027,994,1013,997,25064
2006,2037,1081,999,957,1143,13466
2006,2038,1157,1094,1069,1186,8288
2006,2039,1181,1114,1099,1200,7719
2006,2040,1118,1055,1051,1140,19006
2006,2041,1168,1098,1080,1201,13764
2006,2042,1123,1055,1003,1176,16301
2006,2043,1142,1065,1029,1174,6032
2006,2044,1058,1006,1027,1044,6744
2006,2045,1100,1062,1096,1081,6587
2006,2046,1112,1062,1068,1100,24198
2006,2047,1159,1103,1097,1159,10385
2006,2048,1124,1068,1044,1148,7151
2006,2049,1086,1032,1008,1113,10150
2006,2050,1165,1092,1031,1212,5353
2006,2060,1190,1121,1066,1231,10810
2006,2061,1170,1089,1042,1211,5680
2006,2062,1182,1111,1088,1206,5776
2006,2063,1207,1140,1169,1196,6034
2006,2064,1152,1087,1057,1184,9710
2006,2065,1183,1116,1083,1208,25566
2006,2066,1171,1116,1108,1184,26170
2006,2067,1151,1079,1066,1164,22221
2006,2068,1169,1108,1129,1164,14741
2006,2069,1207,1141,1173,1199,12197
2006,2070,1202,1136,1160,1201,10958
2006,2071,1210,1141,1179,1204,11824
2006,2072,1199,1133,1155,1197,5993
2006,2073,1214,1149,1187,1199,14096
2006,2074,1192,1138,1164,1184,19807
2006,2075,1214,1149,1197,1185,17335
2006,2076,1180,1122,1155,1169,21714
2006,2077,1105,1063,1047,1106,32281
2006,2079,1136,1106,1135,1087,6974
2006,2080,1118,1090,1108,1082,1551
2006,2081,1142,1117,1142,1084,4864
2006,2082,1139,1110,1145,1078,5181
2006,2083,1042,1001,1036,1039,1699
2006,2084,1160,1120,1172,1096,3752
2006,2085,1168,1123,1173,1105,11033
2006,2086,1170,1123,1170,1113,12555
2006,2087,1157,1106,1138,1125,11938
2006,2088,1198,1130,1127,1213,25614
2006,2089,1185,1116,1071,1218,10008
2006,2090,1191,1120,1096,1217,13147
2006,2092,1185,1123,1160,1160,6356
2006,2093,1154,1103,1113,1141,19558
2006,2094,1170,1110,1099,1180,5624
2006,2095,1157,1089,1066,1179,13949
2006,2096,1140,1097,1087,1130,13036
2006,2097,1137,1099,1124,1081,13240
2006,2099,1084,1044,1058,1055,34912
2006,2100,1114,1074,1119,1063,18649
2006,2101,1129,1095,1116,1078,16317
2006,2102,1146,1102,1146,1083,4993
2006,2103,1122,1087,1111,1073,9539
2006,2104,1140,1098,1133,1120,3089
2006,2105,1200,1141,1167,1176,1928
2006,2106,1153,1106,1121,1121,8505
2006,2107,1166,1119,1148,1135,14421
2006,2108,1178,1126,1146,1160,1710
2006,2109,1032,979,898,1120,1751
2006,2110,1161,1104,1117,1164,9834
2006,2111,1119,1075,1074,1118,13354
2006,2112,1084,1051,1056,1071,24738
2006,2113,1093,1047,1040,1100,15871
2006,2114,1094,1055,1033,1104,19074
2006,2115,1002,966,973,994,7314
2006,2116,1019,972,988,1033,6600
2006,2117,1048,1011,1013,1051,18089
2006,2118,1126,1086,1098,1107,21638
2006,2119,1202,1144,1179,1188,10708
2006,2120,1160,1113,1128,1144,19030
2006,2121,1153,1106,1099,1159,23154
2006,2122,1112,1058,1046,1136,28470
2006,2125,1193,1137,1183,1149,15869
2006,2126,1182,1131,1171,1143,19109
2006,2127,1177,1117,1120,1168,4912
2006,2128,975,953,955,966,969
2006,2130,1081,1037,990,1127,6131
2006,2131,1052,1006,958,1101,21262
2006,2132,1070,1023,1034,1078,10063
2006,2133,1041,1010,1018,1032,10455
2006,2134,1052,981,963,1090,11566
2006,2135,1103,1040,1042,1117,24854
2006,2136,1061,1026,1038,1056,3580
2006,2137,1119,1080,1094,1092,20713
2006,2138,1131,1088,1089,1113,9232
2006,2140,1063,1012,978,1092,11216
2006,2141,978,932,965,987,23981
2006,2142,939,897,903,960,17533
2006,2143,953,923,945,957,6756
2006,2144,932,875,912,952,29969
2006,2145,1012,997,988,1005,61239
2006,2146,1021,1020,1012,1000,16478
2006,2147,1009,1001,1004,979,33975
2006,2148,977,975,978,951,54287
2006,2150,1019,981,905,1076,24063
2006,2151,1082,1046,1039,1076,15823
2006,2152,1087,1065,1060,1058,7608
2006,2153,1138,1107,1136,1083,49089
2006,2154,1159,1113,1151,1110,35389
2006,2155,1169,1127,1199,1084,35114
2006,2156,1172,1132,1192,1102,11906
2006,2157,1094,1084,1134,1050,3162
2006,2158,1151,1110,1163,1105,7905
2006,2159,1115,1095,1120,1084,5104
2006,2160,958,932,942,957,30481
2006,2161,933,904,931,927,26225
2006,2162,939,912,936,932,14876
2006,2163,868,804,854,896,11714
2006,2164,956,943,988,919,18518
2006,2165,909,860,922,904,34196
2006,2166,867,784,887,878,47319
2006,2167,1023,1021,1022,992,7670
2006,2168,916,882,940,899,40201
2006,2170,974,951,982,952,85333
2006,2171,1061,1043,1124,987,22130
2006,2172,1157,1136,1182,1086,2101
2006,2173,1091,1092,1080,1041,12968
2006,2174,883,881,866,841,80
2006,2175,1019,1016,1089,955,1812
2006,2176,993,964,1034,951,45769
2006,2177,930,868,958,909,15245
2006,2178,1030,1038,1109,954,3844
2006,2179,975,974,1038,920,4695
2006,2190,948,916,950,946,22460
2006,2191,994,960,982,993,5708
2006,2192,951,914,946,961,12129
2006,2193,1040,1006,1027,1032,12963
2006,2194,951,900,916,988,21581
2006,2195,910,871,876,952,22082
2006,2196,947,913,955,943,28675
2006,2197,947,928,955,932,7225
2006,2198,1033,1030,1066,973,8048
2006,2199,946,923,954,932,14876
2006,2200,943,903,932,955,37959
2006,2203,1053,1002,984,1085,12208
2006,2204,1017,953,965,1046,23773
2006,2205,1015,969,997,1003,14135
2006,2206,1043,1009,1057,1015,16564
2006,2207,1030,1001,1023,1013,25248
2006,2208,1021,993,1024,1008,10695
2006,2209,1017,987,993,1018,13565
2006,2210,1011,976,998,995,27018
2006,2211,1024,1008,1020,992,14484
2006,2212,993,978,992,969,13852
2006,2213,1031,1022,1027,992,19512
2006,2214,1072,1078,1108,969,3886
2006,2216,1023,987,993,1013,23421
2006,2217,1040,1009,1005,1036,22221
2006,2218,1029,997,991,1035,14558
2006,2219,1049,1023,1039,1023,11809
2006,2220,1042,993,987,1054,25662
2006,2221,1105,1071,1096,1073,15248
2006,2222,1043,1016,1001,1040,10256
2006,2223,1090,1065,1065,1065,19619
2006,2224,1099,1072,1098,1045,13223
2006,2225,1142,1115,1147,1081,4981
2006,2226,1106,1081,1088,1066,10979
2006,2227,1109,1091,1106,1050,12959
2006,2228,1067,1046,1048,1027,16812
2006,2229,1102,1076,1096,1047,25954
2006,2230,1104,1077,1069,1072,26359
2006,2231,1032,1031,1081,930,2109
2006,2232,1097,1074,1077,1055,31625
2006,2233,1104,1098,1122,1021,28783
2006,2234,1144,1113,1160,1058,31126
2006,2250,1013,1014,1005,992,63834
2006,2251,1033,1032,1034,1003,31450
2006,2256,955,955,948,941,14790
2006,2257,966,970,967,939,26789
2006,2258,1041,1044,1040,1001,4789
2006,2259,975,986,1007,921,51070
2006,2260,1084,1074,1076,1051,20719
2006,2261,959,970,970,925,45797
2006,2262,924,943,958,879,18928
2006,2263,909,921,927,883,21815
2006,2264,971,979,990,959,12624
2006,2265,1003,998,998,1020,4974
2006,2267,999,1009,997,984,2773
2006,2278,969,1014,1026,885,2674
2006,2280,1001,1011,1006,962,24529
2006,2281,957,970,974,925,13149
2006,2282,1052,1062,1055,1015,14230
2006,2283,974,979,975,951,22732
2006,2284,942,959,957,914,9821
2006,2285,973,1000,998,927,26421
2006,2286,931,969,979,877,3557
2006,2287,985,999,996,955,31223
2006,2289,1033,1040,1009,1028,17963
2006,2290,996,1005,991,972,33264
2006,2291,1084,1064,1034,1093,13036
2006,2292,982,975,942,999,2568
2006,2293,1005,980,940,1026,2285
2006,2294,943,925,886,986,1794
2006,2295,897,849,939,919,4736
2006,2296,959,943,891,1001,1531
2006,2297,948,932,887,992,1483
2006,2298,940,936,907,967,8877
2006,2299,975,966,934,1001,10142
2006,2300,1073,1026,965,1133,9067
2006,2302,1044,996,917,1088,352
2006,2303,997,961,931,1027,8595
2006,2304,936,928,903,951,14671
2006,2305,1033,1032,998,1042,11026
2006,2306,709,650,677,746,2793
2006,2307,916,929,917,944,4177
2006,2311,956,1002,1014,990,834
2006,2312,893,917,942,854,591
2006,2315,989,999,991,975,12448
2006,2316,988,999,1005,953,3638
2006,2317,992,1005,997,969,2904
2006,2318,996,1019,1027,942,15606
2006,2319,935,959,963,905,5832
2006,2320,969,983,993,935,23012
2006,2321,1005,1035,1051,957,10902
2006,2322,955,984,1001,898,17270
2006,2323,981,996,988,954,22682
2006,2324,919,932,941,898,19360
2006,2325,908,929,948,878,23515
2006,2326,880,900,926,839,6325
2006,2327,881,904,915,847,7217
2006,2328,953,992,1010,922,2374
2006,2329,914,946,964,953,2253
2006,2330,991,1012,1034,933,20056
2006,2333,950,969,983,902,12860
2006,2334,999,1021,1043,963,4569
2006,2335,993,1026,1054,932,5082
2006,2336,933,973,1001,882,2271
2006,2337,967,998,1005,949,7361
2006,2338,914,944,967,916,1330
2006,2339,929,982,1000,965,537
2006,2340,958,975,972,942,42947
2006,2341,816,821,876,836,1489
2006,2342,936,964,955,966,497
2006,2343,930,959,969,966,5160
2006,2344,1010,1051,1058,1016,1057
2006,2345,954,995,1012,959,633
2006,2346,895,918,937,930,3327
2006,2347,880,914,937,922,2015
2006,2350,996,997,961,1044,24643
2006,2352,954,993,1009,926,2688
2006,2353,941,983,997,927,984
2006,2354,938,976,983,989,3629
2006,2355,900,922,944,948,351
2006,2356,830,858,918,924,240
2006,2357,909,923,928,943,4076
2006,2358,945,973,970,969,3845
2006,2359,872,907,934,904,786
2006,2360,911,938,942,918,13589
2006,2361,851,871,923,902,954
2006,2365,923,964,973,963,3193
2006,2369,823,811,876,837,966
2006,2370,903,925,928,938,7786
2006,2371,890,913,946,956,1218
2006,2372,910,940,952,931,4763
2006,2379,1012,1058,1070,1096,495
2006,2380,912,933,940,920,10832
2006,2381,915,962,989,973,134
2006,2382,882,915,944,914,1461
2006,2386,825,823,899,844,130
2006,2387,966,1012,1025,1016,271
2006,2388,920,938,945,953,2605
2006,2390,930,961,958,932,8655
2006,2395,852,857,880,899,806
2006,2396,871,889,903,920,1081
2006,2397,948,999,1006,1010,428
2006,2399,923,968,998,941,644
2006,2400,941,949,966,937,10742
2006,2401,930,952,995,964,278
2006,2402,908,951,973,935,1872
2006,2403,876,928,963,901,441
2006,2404,883,920,944,929,1872
2006,2405,1012,1056,1076,1037,581
2006,2406,916,932,940,952,945
2006,2408,989,1028,1015,1089,637
2006,2409,831,752,833,882,1179
2006,2410,822,834,908,887,87
2006,2411,966,1021,1022,1036,186
2006,2415,895,954,963,923,249
2006,2420,966,997,1011,968,4942
2006,2421,1004,1038,1037,990,938
2006,2422,926,961,971,935,5038
2006,2423,908,941,969,908,2731
2006,2424,889,905,916,920,276
2006,2425,915,952,981,922,2024
2006,2426,871,899,930,859,493
2006,2427,895,918,934,886,2342
2006,2428,929,948,952,914,22051
2006,2429,912,938,950,910,10109
2006,2430,933,948,952,920,32241
2006,2431,926,948,956,915,4612
2006,2439,939,973,990,932,2307
2006,2440,892,901,915,893,23046
2006,2441,930,949,958,940,3543
2006,2443,901,928,938,895,8469
2006,2444,971,980,970,953,40051
2006,2445,996,1013,1012,962,5276
2006,2446,942,969,980,922,11661
2006,2447,899,923,926,902,6183
2006,2448,897,899,896,911,8724
2006,2449,864,860,876,886,2259
2006,2450,966,971,962,952,41646
2006,2452,922,927,916,916,9754
2006,2453,918,944,946,973,2642
2006,2454,974,978,952,1003,7169
2006,2455,898,907,922,896,2944
2006,2456,944,955,955,946,12179
2006,2460,910,931,940,903,29138
2006,2462,899,917,927,918,1588
2006,2463,907,929,946,899,6104
2006,2464,941,963,951,938,6466
2006,2465,905,928,927,927,191
2006,2466,870,897,923,868,1740
2006,2469,882,894,918,926,5143
2006,2470,885,913,936,877,14483
2006,2471,892,921,949,894,2196
2006,2472,903,936,947,905,2376
2006,2473,902,914,917,913,2631
2006,2474,900,926,932,933,5682
2006,2475,856,892,939,913,389
2006,2476,869,882,906,943,1014
2006,2477,995,1011,1000,997,11336
2006,2478,978,980,973,968,25660
2006,2479,1049,1043,1044,1070,4180
2006,2480,958,967,948,975,44150
2006,2481,1023,990,984,1035,9882
2006,2482,982,973,957,1012,6156
2006,2483,971,971,967,981,9941
2006,2484,943,963,963,944,17727
2006,2485,923,930,933,914,12152
2006,2486,966,978,1000,926,30274
2006,2487,964,964,968,960,9262
2006,2488,986,985,983,967,3544
2006,2489,962,970,987,936,4396
2006,2490,966,984,1001,910,348
2006,2500,1018,992,949,1056,33480
2006,2502,852,828,876,846,11750
2006,2505,897,886,919,872,4368
2006,2506,869,866,886,855,7413
2006,2508,1093,1084,1100,1035,8159
2006,2515,1093,1073,1059,1095,9886
2006,2516,1016,1009,988,1017,5941
2006,2517,1019,1012,1004,999,11683
2006,2518,947,940,922,944,17806
2006,2519,1006,995,982,1014,16203
2006,2525,1060,1062,1063,1040,10528
2006,2526,1015,1015,1020,988,15718
2006,2527,988,1009,1027,924,19924
2006,2528,903,907,923,872,23029
2006,2529,1000,1010,1030,942,19790
2006,2530,969,987,997,919,28871
2006,2533,1060,1065,1049,1048,14327
2006,2534,1047,1055,1044,1044,4658
2006,2535,1009,1027,1018,1009,6690
2006,2536,944,965,961,926,17269
2006,2537,946,967,959,955,10281
2006,2538,976,1005,994,972,1961
2006,2539,937,964,962,925,16407
2006,2540,951,972,980,930,38396
2006,2541,921,922,918,921,23681
2006,2545,908,930,932,937,1193
2006,2546,929,951,951,939,8314
2006,2548,982,1012,990,963,6593
2006,2549,968,1003,995,958,3166
2006,2550,945,975,966,960,15704
2006,2551,897,918,927,894,3800
2006,2555,958,940,1020,876,722
2006,2556,1029,1035,1117,939,1717
2006,2557,1018,1026,1092,954,4439
2006,2558,999,1009,1028,935,10950
2006,2559,727,639,659,772,3832
2006,2560,969,965,981,928,69817
2006,2563,1000,1002,1005,968,236
2006,2564,892,877,883,887,13315
2006,2565,996,998,995,959,15235
2006,2566,960,960,969,923,25026
2006,2567,1075,1069,1113,980,30276
2006,2568,1095,1114,1131,1039,874
2006,2569,1043,1061,1083,980,1713
2006,2570,1053,1059,1085,1003,23699
2006,2571,1031,1050,1079,973,7498
2006,2572,1019,1030,1056,970,4191
2006,2573,965,978,999,915,4235
2006,2574,1003,1024,1054,939,5631
2006,2575,1001,1017,1024,975,14337
2006,2576,1082,1068,1077,1078,11653
2006,2577,1007,1022,1027,998,14150
2006,2578,1007,1019,1012,1009,2034
2006,2579,996,1025,1039,981,3046
2006,2580,944,963,968,940,26280
2006,2581,1018,1052,1054,1055,2140
2006,2582,1022,1039,1048,1015,10170
2006,2583,936,985,988,970,4216
2006,2584,911,940,975,937,269
2006,2585,924,945,982,973,272
2006,2586,931,972,979,969,2238
2006,2587,919,956,972,942,3192
2006,2588,871,930,958,924,165
2006,2590,918,947,950,928,7276
2006,2594,930,966,968,932,11328
2006,2600,1165,1124,1095,1231,8206
2006,2601,1148,1093,964,1213,2529
2006,2602,1090,1051,1012,1159,26432
2006,2603,1149,1091,1087,1182,7833
2006,2604,1107,1060,1016,1170,8384
2006,2605,1139,1105,1090,1171,11206
2006,2606,1092,1061,1018,1134,7360
2006,2607,1126,1096,1085,1145,13425
2006,2609,942,940,942,953,730
2006,2611,1107,1083,1077,1119,22233
2006,2612,1107,1045,988,1189,11304
2006,2614,1103,1077,1055,1139,18473
2006,2615,1066,1053,1047,1062,40436
2006,2617,1096,1072,1064,1099,25476
2006,2618,1131,1123,1135,1116,1101
2006,2619,1164,1138,1165,1123,8175
2006,2620,1025,1024,1029,1009,34173
2006,2621,1105,1102,1123,1092,5325
2006,2622,981,1014,1009,1028,3036
2006,2623,929,958,955,923,448
2006,2624,1037,1065,1057,1042,456
2006,2625,1068,1031,882,1082,477
2006,2626,960,1006,1020,929,172
2006,2627,1061,1083,1060,1024,3474
2006,2628,999,1042,1024,991,1414
2006,2629,939,997,981,959,519
2006,2630,969,997,978,970,8926
2006,2631,940,991,996,972,570
2006,2632,925,969,974,955,2234
2006,2633,842,864,894,885,306
2006,2640,992,1001,976,990,29263
2006,2641,944,966,956,915,16352
2006,2642,1000,1044,1045,994,4778
2006,2643,933,976,988,899,2441
2006,2644,954,991,995,987,2632
2006,2645,896,931,960,962,547
2006,2646,934,977,981,917,7080
2006,2647,940,993,999,944,2190
2006,2648,911,946,956,927,2526
2006,2650,985,999,983,973,52399
2006,2651,948,979,974,906,1939
2006,2652,958,1004,1021,981,5927
2006,2653,915,954,971,919,2630
2006,2655,949,987,988,949,1065
2006,2656,954,1010,1007,990,1647
2006,2658,927,972,976,974,1586
2006,2659,960,1020,1009,971,1008
2006,2660,917,942,949,921,1316
2006,2663,884,906,922,868,3744
2006,2665,918,975,987,981,2366
2006,2666,925,970,963,938,5651
2006,2668,890,922,963,940,370
2006,2669,936,1007,1026,1010,2165
2006,2671,929,976,979,918,3951
2006,2672,894,915,926,945,1628
2006,2675,930,963,979,951,1582
2006,2680,956,982,997,933,22545
2006,2681,955,1005,1009,926,1513
2006,2700,905,930,942,928,5195
2006,2701,945,988,991,944,1803
2006,2702,889,946,969,917,1035
2006,2703,943,986,989,950,1027
2006,2705,932,966,977,919,9978
2006,2706,866,894,944,872,1133
2006,2707,954,1003,1006,991,1406
2006,2710,933,964,967,950,10532
2006,2711,922,952,956,947,3708
2006,2712,907,952,962,923,1275
2006,2713,926,964,968,937,2447
2006,2714,946,989,986,955,2445
2006,2715,902,921,938,926,1348
2006,2716,944,988,991,976,1526
2006,2717,891,903,937,915,1649
2006,2720,927,955,954,913,7136
2006,2721,921,971,981,998,224
2006,2722,910,946,964,919,3477
2006,2725,859,884,939,862,223
2006,2726,904,957,998,876,119
2006,2727,960,1005,1016,1025,338
2006,2729,947,995,1004,953,1988
2006,2730,876,912,928,879,1473
2006,2731,960,1005,1012,940,5119
2006,2732,950,1004,1000,965,2002
2006,2733,944,995,991,977,761
2006,2734,925,983,999,999,107
2006,2735,910,970,970,962,374
2006,2736,941,990,997,986,442
2006,2737,922,966,998,916,827
2006,2738,1000,1034,1037,992,1799
2006,2739,940,962,966,931,806
2006,2745,1081,1078,1119,988,24697
2006,2747,979,991,999,923,32356
2006,2748,1071,1063,1136,998,1912
2006,2749,1007,1012,1029,939,15873
2006,2750,996,1002,1000,950,41419
2006,2752,1033,1051,1099,935,4467
2006,2753,1010,1014,1029,976,15734
2006,2754,1034,1041,1045,981,6027
2006,2755,1081,1111,1023,1082,348
2006,2756,1010,1022,1039,952,30762
2006,2757,1066,1072,1102,1005,859
2006,2758,1081,1089,1111,1035,7140
2006,2759,1024,1042,1066,934,27422
2006,2760,910,910,929,875,24171
2006,2761,995,1008,1025,944,26690
2006,2762,1010,1028,1060,941,3906
2006,2763,1063,1056,1068,1012,28125
2006,2765,1001,1005,1041,944,14262
2006,2766,977,978,1001,935,12812
2006,2767,971,954,972,954,18387
2006,2768,1145,1105,1170,1070,21530
2006,2770,865,842,866,856,57258
2006,2773,1126,1112,1101,1116,5996
2006,2774,1093,1088,1074,1074,12232
2006,2775,965,984,994,972,1560
2006,2776,1093,1084,1072,1088,4330
2006,2777,1081,1077,1066,1066,17306
2006,2778,1076,1074,1047,1075,2392
2006,2779,1037,1035,1008,1052,4449
2006,2780,994,973,947,1044,12664
2006,2782,1046,1042,1024,1065,5651
2006,2783,1019,1021,992,1031,2421
2006,2784,1026,1033,998,1042,1235
2006,2785,1010,1006,982,1040,4343
2006,2786,997,998,976,1026,1048
2006,2787,952,993,1017,930,4958
2006,2790,920,936,941,893,14167
2006,2791,883,924,947,901,219
2006,2792,881,900,951,873,152
2006,2793,882,914,937,906,842
2006,2794,913,942,949,919,10578
2006,2795,988,1005,1000,982,37227
2006,2797,912,958,969,916,418
2006,2798,1011,1035,1056,1031,1915
2006,2799,931,963,968,921,4009
2006,2800,972,987,988,963,39050
2006,2803,937,981,982,1011,380
2006,2804,938,975,984,978,2843
2006,2805,920,961,1001,971,853
2006,2806,880,929,937,924,634
2006,2807,745,741,854,774,258
2006,2808,869,919,921,894,81
