id,Income year,Postcode,Individuals1,Taxable income or loss1 ,Net tax,Gross interest,Net rent,Net capital gain,Total income or loss,Total deductions,Salary or wages,Medicare levy,Medicare levy surcharge,Total work related expenses,Gifts or donations,HELP assessment debt2
200600800,2006,800,"1,660","80,189,786","19,291,288","982,029","-948,556","2,189,379","84,768,019","4,545,219","66,405,766","959,934","75,734","2,822,606","170,298","260,038"
200600810,2006,810,"13,355","625,078,283","140,888,692","5,565,972","-6,677,386","10,236,677","652,244,699","27,017,769","541,684,823","8,715,326","610,893","18,054,427","1,138,952","1,642,494"
200600812,2006,812,"9,310","430,513,198","95,521,802","2,948,602","-5,188,619","5,747,701","447,131,373","16,575,272","387,968,768","6,018,646","354,976","11,840,366","653,358","823,035"
200600820,2006,820,"9,115","501,290,855","128,219,514","5,263,994","-5,609,933","14,737,411","527,167,085","25,752,080","422,907,036","6,182,615","406,521","16,620,684","811,836","1,251,021"
200600828,2006,828,440,"23,944,386","6,292,688","260,607","-62,955","2,316,623","24,894,721","943,140","17,225,625","337,452","24,403","538,453","23,955","27,004"
200600830,2006,830,"8,145","369,188,892","79,956,469","1,260,399","-3,921,718","3,663,834","384,876,509","15,599,694","347,923,168","4,531,598","331,666","12,660,694","507,664","640,860"
200600832,2006,832,"2,970","139,562,478","30,890,833","382,558","-1,554,586","1,117,560","145,361,131","5,794,158","134,556,229","1,724,264","140,950","4,851,519","162,244","245,458"
200600835,2006,835,"2,585","129,478,026","30,639,655","921,464","-1,127,239","4,059,528","135,344,484","5,660,982","107,754,261","1,848,550","140,880","3,527,186","152,147","118,807"
200600836,2006,836,"2,945","137,956,138","30,638,226","817,019","-1,030,911","2,198,130","144,009,435","5,755,536","116,564,560","1,947,012","165,540","3,943,698","126,465","146,829"
200600837,2006,837,650,"28,915,658","6,061,449","170,087","-167,257","684,890","29,953,091","979,297","23,751,692","406,932","34,195","738,952","25,667","29,949"
200600838,2006,838,120,"4,978,563","1,049,013","121,937","-45,350","19,949","5,154,576","174,131","4,204,591","71,000","4,711","137,615","4,965","8,077"
200600840,2006,840,50,"2,277,237","489,026","6,374","-14,165","2,110","2,315,917","38,680","1,617,788","30,382","2,012","28,816","1,753",0
200600841,2006,841,115,"4,349,276","858,759","19,595","-18,912","7,677","4,509,914","160,640","4,043,709","57,319","8,197","143,866","3,641","10,654"
200600845,2006,845,255,"10,986,641","2,223,428","79,361","-93,774","67,619","11,496,953","510,311","9,435,961","155,486","14,158","315,253","23,702","31,870"
200600847,2006,847,105,"3,950,474","777,681","39,427","48,969","61,114","4,223,273","272,799","3,329,802","52,524","6,053","142,100","4,361","3,614"
200600850,2006,850,"2,395","106,578,906","22,661,652","597,461","-683,627","701,980","110,556,933","3,789,434","97,123,111","1,339,270","123,762","2,878,633","111,716","256,219"
200600852,2006,852,815,"30,241,662","5,417,317","194,732","-237,790","523,188","31,335,204","1,084,353","26,504,345","419,682","36,330","829,296","52,361","97,428"
200600854,2006,854,175,"7,494,789","1,463,517","53,163","-107,677","8,085","7,732,729","237,940","6,375,716","109,929","8,831","193,698","8,260","14,702"
200600860,2006,860,720,"31,099,604","6,109,802","178,139","-371,857","281,632","32,543,146","1,443,544","28,308,329","445,392","42,193","1,252,680","53,403","60,120"
200600862,2006,862,140,"4,842,221","794,466","47,010","-66,115","3,077","5,070,675","180,214","4,355,065","67,385","1,664","152,701","4,804","11,384"
200600870,2006,870,"10,045","447,591,487","98,273,439","3,325,012","-5,202,604","6,002,487","466,868,915","19,105,330","408,049,435","6,298,418","505,239","13,143,275","1,060,548","911,854"
200600880,2006,880,890,"58,792,430","15,610,819","441,094","-1,280,215","1,491,318","60,582,742","1,776,492","55,046,575","855,752","119,497","846,386","98,737","81,253"
200600885,2006,885,515,"34,917,598","9,576,048","142,399","-902,660","390,910","35,824,289","871,269","35,021,404","502,436","65,155","556,081","51,497","38,385"
200600886,2006,886,690,"38,854,584","9,433,467","365,477","-788,455","318,599","40,150,478","1,263,715","37,642,125","572,653","61,127","847,325","53,838","133,461"
200602000,2006,2000,"16,800","788,302,946","237,754,901","22,109,045","-7,615,102","56,633,153","844,838,119","55,628,370","524,717,455","9,294,948","388,564","16,461,837","6,105,342","1,081,242"
200602006,2006,2006,185,"8,687,848","2,266,604","213,364","-207,854","150,364","9,218,797","530,940","8,069,446","117,241","6,562","328,252","48,575","28,895"
200602007,2006,2007,"2,745","115,063,224","27,131,416","2,067,179","-2,353,088","1,791,454","121,652,939","6,549,178","106,330,676","1,490,763","97,409","4,460,377","527,278","435,945"
200602008,2006,2008,"3,230","145,522,482","36,157,120","1,949,487","-1,858,000","1,351,840","153,885,168","8,230,544","132,411,129","1,994,728","174,613","4,976,891","607,351","643,638"
200602009,2006,2009,"6,455","400,073,669","117,403,161","7,306,244","-8,874,022","15,636,577","423,826,351","23,403,859","337,504,719","5,437,075","352,628","12,203,322","1,498,601","1,163,423"
200602010,2006,2010,"14,090","820,837,559","233,332,392","11,867,230","-12,882,608","16,808,470","870,892,893","49,598,170","708,404,546","11,389,173","895,106","27,997,847","2,465,868","2,904,269"
200602011,2006,2011,"10,735","814,237,184","259,021,834","22,135,530","-7,314,772","47,193,211","868,235,447","53,455,795","581,939,115","11,148,349","663,158","21,635,059","5,196,463","1,854,845"
200602015,2006,2015,"4,985","277,374,540","73,779,134","2,402,736","-5,508,190","3,865,507","293,181,153","15,640,694","254,806,143","3,951,989","295,485","11,403,856","737,632","982,941"
200602016,2006,2016,"5,625","289,392,420","75,691,720","4,318,240","-5,474,555","5,021,043","305,604,132","16,135,444","260,347,353","4,056,713","326,926","10,820,371","992,157","941,142"
200602017,2006,2017,"4,630","225,267,081","55,996,290","2,829,945","-4,740,258","2,507,212","239,369,626","14,028,898","216,862,486","3,030,769","229,107","10,979,033","619,446","803,367"
200602018,2006,2018,"5,945","253,761,918","58,097,593","4,633,044","-5,100,365","4,271,593","266,851,261","13,111,659","228,085,269","3,468,369","193,038","9,537,678","895,489","610,864"
200602019,2006,2019,"4,335","208,440,624","50,481,325","3,024,836","-4,324,734","2,950,572","219,140,033","10,663,389","188,801,785","2,896,232","148,912","7,520,458","574,892","247,871"
200602020,2006,2020,"4,955","211,279,368","47,537,455","3,398,828","-3,404,539","2,654,115","226,041,732","14,709,863","197,414,019","2,908,782","140,723","8,118,975","779,060","363,320"
200602021,2006,2021,"8,780","793,038,829","270,703,614","17,007,587","-9,441,245","39,568,431","855,882,753","62,348,839","557,109,303","11,203,446","503,375","18,913,859","4,174,910","1,767,741"
200602022,2006,2022,"6,305","427,719,725","130,556,746","14,336,776","-2,140,688","20,030,396","458,083,117","30,015,188","302,262,922","5,884,722","258,449","10,354,613","2,400,813","673,138"
200602023,2006,2023,"5,495","679,659,882","254,021,807","27,384,731","4,240,929","81,120,354","748,033,395","67,903,238","315,853,434","9,791,481","204,859","10,668,409","9,006,966","628,589"
200602024,2006,2024,"5,970","447,070,840","140,930,777","14,925,328","-4,616,410","25,532,853","482,617,253","35,204,166","318,352,402","6,273,370","297,282","11,739,688","3,234,015","749,661"
200602025,2006,2025,"4,380","460,818,809","162,373,108","20,396,344","-372,504","33,502,558","506,262,405","44,146,572","243,203,593","6,614,681","172,176","7,955,040","6,396,136","602,833"
200602026,2006,2026,"17,570","1,054,890,082","306,857,950","23,043,566","-9,254,649","34,652,373","1,120,034,028","64,857,254","831,448,146","14,681,235","963,245","34,582,541","4,426,069","2,496,459"
200602027,2006,2027,"4,920","719,708,629","275,555,962","39,983,043","7,022,942","109,539,077","818,664,625","96,579,036","267,931,963","10,334,680","174,590","7,357,834","27,368,159","659,965"
200602028,2006,2028,"2,965","332,074,030","117,964,839","16,621,824","2,734,342","32,278,656","362,183,465","29,748,581","158,283,252","4,621,880","94,420","5,341,850","3,146,205","450,577"
200602029,2006,2029,"5,480","539,955,653","189,185,382","23,803,429","-484,607","77,819,588","594,115,321","50,711,029","283,385,372","7,761,957","193,925","9,375,113","5,466,651","601,681"
200602030,2006,2030,"7,860","968,952,293","361,527,350","40,088,336","3,425,738","121,498,247","1,090,604,192","120,624,648","424,262,578","13,830,456","174,345","12,555,148","21,767,324","468,703"
200602031,2006,2031,"18,280","1,165,174,125","342,323,107","27,842,946","-10,519,173","36,633,434","1,230,236,759","64,413,208","892,791,813","16,499,603","870,518","32,975,447","5,828,901","2,816,925"
200602032,2006,2032,"6,675","317,873,621","80,468,779","10,182,191","-2,462,640","8,848,109","333,771,495","15,842,371","252,836,735","4,387,554","187,338","9,325,369","940,878","655,973"
200602033,2006,2033,"5,095","292,449,533","82,267,388","10,033,694","-2,090,365","13,221,927","311,583,332","18,995,797","217,251,551","4,081,222","166,429","8,332,194","997,119","800,854"
200602034,2006,2034,"11,470","717,861,078","208,423,032","18,869,982","-6,840,625","35,376,255","762,111,028","43,820,288","546,075,050","9,832,017","562,842","22,369,767","2,497,424","1,921,238"
200602035,2006,2035,"15,075","782,148,652","202,998,191","24,382,447","-7,707,693","25,453,396","828,049,834","45,334,233","614,222,739","10,817,698","483,477","24,429,678","2,545,019","1,519,076"
200602036,2006,2036,"11,560","528,710,099","124,415,466","10,962,756","-9,735,094","11,472,541","555,909,337","27,569,844","457,024,075","7,276,049","324,359","18,099,156","1,525,735","715,281"
200602037,2006,2037,"6,895","417,843,063","120,725,338","7,536,415","-5,045,445","9,916,016","445,488,245","27,209,702","332,430,197","5,927,818","383,144","11,098,963","2,348,467","1,291,919"
200602038,2006,2038,"4,765","322,565,352","95,418,937","5,497,182","-4,420,518","7,212,864","340,005,890","17,337,910","262,704,420","4,661,987","263,918","9,423,747","1,284,721","890,644"
200602039,2006,2039,"4,550","328,759,987","99,601,105","5,705,042","-7,163,610","8,200,981","348,015,845","18,949,886","277,469,244","4,686,459","284,077","10,471,855","1,042,820","742,215"
200602040,2006,2040,"10,180","618,848,063","173,212,931","9,609,712","-11,925,158","13,589,785","650,191,403","31,209,451","537,613,284","8,889,480","502,898","19,563,906","1,601,746","1,601,855"
