Postcode,Individuals1,Taxable income or loss1 ,Net tax,Gross interest,Net rent,Net capital gain,Total income or loss,Total deductions,Salary or wages,Medicare levy,Medicare levy surcharge,Total work related expenses,Gifts or donations,HELP assessment debt2,Count
800,5464,389375576,101020407,2146701,-4580471,2352866,401984147,12492549,369097403,5273096,290409,9884768,497103,1065946,
801,851,76714900,21548849,638746,-537057,2137244,79247570,2497734,60125636,1349178,44455,1587443,133032,121148,
804,197,14853586,3880046,356795,-496362,153438,16352924,1474084,13548226,293956,5134,394191,32993,40137,
810,21128,1367379789,315901076,9757680,-17414593,8046750,1423395586,54785434,1221852585,23882351,716250,40189714,3490007,4539836,1
811,418,32613132,8293050,323524,-687318,218314,33999841,1383883,25937012,609810,3898,900716,59130,62387,
812,11509,728206334,162280073,4232709,-10799838,2549416,755230121,26440983,666859198,13357262,349902,19669688,1448530,1748475,1
813,139,10268069,2469394,63499,-31753,135616,10577620,284459,8788153,195039,5167,181210,15064,15779,1
814,225,16591584,4155441,172046,-328922,368880,17308763,661683,13571320,314579,6432,423514,38407,14376,
820,13252,1054696579,278105884,8262326,-13694450,11505731,1096663108,40897310,904532084,18153920,597376,28618140,2180981,3437115,1
821,616,46253016,11932477,417718,-232612,759543,47949573,1571086,35190797,866504,26013,990133,90524,69625,
822,5636,258586148,45809079,956261,-2028861,616066,266841119,7915380,232815852,4198746,123439,5806061,355736,627414,2
828,733,52673379,13343662,579153,111775,423270,54448365,1633620,40502095,953957,32622,1127628,59621,86386,1
829,248,15015585,3199996,60937,-20828,78888,15822080,799694,13893929,124203,2776,694555,23409,45033,
830,11179,749185895,172830406,2245311,-14313347,1934521,778958242,29331676,717290376,13002544,436749,23294172,1340706,1655215,1
831,1118,82296596,19682148,393747,-1724186,739339,85318315,2997374,75909534,1552315,57108,2143594,152356,132653,
832,8969,652955268,157826548,1610229,-12752627,1061495,679137702,25949299,641521301,11475115,415150,21835854,982761,1580961,
834,410,27684255,6632026,94565,-553669,145333,28605151,918532,24746212,530544,21353,736559,43059,43879,
835,3312,235002799,56708830,1160570,-5432291,1466858,243887125,8534528,205742560,4432969,143058,5985424,340665,246769,
836,4791,324110986,76082426,1777000,-5733420,1845327,336701210,12258226,292247748,6098581,199141,9025441,459072,353555,
837,620,36116416,7576808,242683,-153067,177471,37779828,1448645,30098625,664404,17726,991114,69794,10259,
838,471,31107990,7184579,120948,-612898,53552,32357658,1225817,28955568,579747,36701,846073,52634,73758,
839,770,53423891,12356861,195012,-847187,248117,55519882,2047841,51505398,981851,32356,1688612,77340,81338,
840,152,8883853,2120289,56321,-82268,2,9176631,282814,6163529,156257,6354,170175,16948,0,
